condition_id,name,severity,description,id
anxiety_related_symptoms,Anxiety-related symptoms,common,"Symptoms such as palpitations, sweating, worry",30d535dc48ac0b48c6a5890906bd1443f6be0e72da3a211140c59f3207d74ede
panic_attack_possible,Panic attack possible,common,Acute episodes of fear with physical symptoms,a18ef238168b401524dbc2e0e38a58dbcb40f152da780611913e96ba9854b4a4
sleep_disorder_possible,Sleep disorder possible,common,Poor sleep quality with daytime impairment,704cf555f105b3f930ae283d851b62df9711d5245be0d10a9ba2ff4e99761e51
stress_related_symptoms,Stress-related symptoms,common,Somatic symptoms associated with high stress,990902253e81cdbfc468504837765cf6f4d73a301dde247b1c093e19c9ca6db9
hypertension_risk,Hypertension risk,common,Elevated BP readings without emergency criteria,3de5159bbbdd06af5a9ceeec07093efcf83bf957ba8246ed45748bef030f1650
hypertensive_urgency_risk,Hypertensive urgency risk,serious_bucket,Very high BP requiring prompt evaluation,8aeb8d3478af59cffb37852ae66c1cb97005abc69969363fc38939aacbe1ef79
hyperglycemia_risk_prediabetes_diabetes,Hyperglycemia risk,serious_bucket,Symptoms suggesting elevated blood glucose,e6c72eb03828f24d78e4afa4b59716e7c50e11f3da9c02c9af5b72245d4eda99
respiratory_compromise_risk,Respiratory compromise risk,serious_bucket,Low oxygen or significant breathing difficulty risk,34d8b8ea804428199ef86a6a6098be67427d8755112c6dd8a1f706b3cb8ac95d
dehydration_risk,Dehydration risk,serious_bucket,Fluid loss risk with signs of hemodynamic stress,024a86582e069d346595f0c2d73ce1cd80ddf450cec126115f5594b721c03d2f
infection_risk_systemic,Systemic infection risk,serious_bucket,Concerning infection pattern requiring evaluation,6a23d8f3ca4b27f389f8963bb305977886bc6ae4fc1b1d8c379d8da595e03625
neurologic_warning_risk,Neurologic warning risk,serious_bucket,Possible neurologic emergency pattern,a6fc22dd1eee4991c2d53ccebeb5fe75ed6b83b9005d248111e88eb9c19a842d
cardiac_warning_risk,Cardiac warning risk,serious_bucket,Possible cardiac emergency pattern,4de001a0d66b7094355649922d240e35f96f2eace2463f2cf2108cf1921bfb44
