from_type,from_id,condition_id,weight,notes,id
Symptom,itchy_eyes,allergic_rhinitis,5,,0dd6b775202902a93b040bbb1e89bed27c4fe6796c29d9c36301c5b8f9fa04c5
Symptom,sneezing,allergic_rhinitis,4,,fe66946bb8d041e76bbb5ba006504fd47298b3cbe5d0ca0d7798c9e99c5ba2bd
Symptom,runny_nose,allergic_rhinitis,3,,4da1a0596ded343284a50a258e35e83395c41b96ebc81e563cca8cbbc5f41ae5
Symptom,nasal_congestion,allergic_rhinitis,3,,7dfd6880f6a3f3c48e415372d7b1928772cdcecc9a127b09bf803c16d2f63240
Symptom,runny_nose,viral_uri,3,,83028bcc3c9187329bba7da3ade44fc10c7a4dd71af5a9e485fe8922ccec983f
Symptom,sore_throat,viral_uri,2,,993e5bc994efca9d4342724581acacba4f57f4fba903e6d791ed478d5aec23fe
Symptom,cough,viral_uri,2,,005b38e45bbb8fb2e4c223f611a6aa721bf48fd5b809c84f22188c33b56322e6
Symptom,fever,influenza_like_illness,4,,af9e0c787363822005e9925845bf87cd77c70c5164ce852c891eba8bade1a24f
Symptom,body_aches,influenza_like_illness,4,,5958bc947f5c8606bbf0cd60b72a7c64c7ce1ae89a19fcb4af7096cac1ece502
Symptom,cough,influenza_like_illness,2,,4709457066cf2a2b8c26adac49f8f3e2816e4e04960301b7305a9bf180266950
Symptom,fever,covid_like_illness,3,,6697f6554f86e486b0ab40296d108abc99577d986a0d5e9046b6bc2663f0640b
Symptom,cough,covid_like_illness,3,,544fc44918a3cb862f032a3682019abdb599ad440e1f4dab38b8d372c3b9a4de
Symptom,shortness_of_breath,covid_like_illness,2,,d45de65ed59681f63a1c4f176235e2791723d620e93b8bdb59943395b1ef9a17
Symptom,nasal_congestion,acute_sinusitis,3,,2732d212cae963842c682c3455b76a4abbf44c4f193ac6d108d4ba51de721f9e
Symptom,headache,acute_sinusitis,2,,a81a7e881ea70fa22d22399352aa43d0abedb2282b8a8c089b85eb5af571e111
Symptom,sore_throat,acute_pharyngitis,4,,db2fe757667e5e53efa2ee4dbaa5121db602025ba009288b2b718ec268ff83c8
Symptom,fever,acute_pharyngitis,2,,ef02eeb19606d7477abb472a264134ba927a37a7e1b75475239aeb00c0c0cf27
Symptom,cough,acute_bronchitis,4,,37fc55fb0ea3bbca5e2b5f94f904198e0a2409866036a5218048d48ed0f1d182
Symptom,wheezing,asthma_exacerbation,4,,8370c37c775a14241e607985c3f8a5d665b7bc44afc2e87ebab0d45eda54f664
Symptom,shortness_of_breath,asthma_exacerbation,3,,954066290ee54bdaf357f4f592c8fbc7b4ca13c6fe7bc4e8ac2df446929c7f97
Symptom,wheezing,copd_exacerbation,3,,3253d93cf64740c168b0c0f9f38182df3dcf8cb3c55bdb4483010493c1178de5
Symptom,shortness_of_breath,copd_exacerbation,3,,a52a420fa8b9f2ff97332f1b3c1af248ed56191a97fa66a6f54d77d78e4ed93c
Symptom,diarrhea,acute_gastroenteritis,4,,6f522640ec3415a5e3ab8605bee81650fcbdd0fa72e45df9226025a233bf4259
Symptom,vomiting,acute_gastroenteritis,4,,54b33fc07b3ade40e6cf1ebe3a1384e503b14c6355ef5b94180b66284b56a793
Symptom,nausea,acute_gastroenteritis,3,,b14d5416819eb0a448c76fe0780097644a9b7424e3abc692eb0d90f59e07fa58
Symptom,heartburn,gerd,5,,9f998bd681a10ddee2b5ca3da22bc1d3817eca808df71cc4a6f8c975a066d25d
Symptom,abdominal_pain,gastritis_peptic_ulcer_possible,3,,9adb15c913c8769c708710f40c6ac89b0dd84909c162f671c236ebb4a6cd142a
Symptom,blood_in_vomit,gastritis_peptic_ulcer_possible,4,,192a4ea5134169af60ae7098a39d96b98456ff67f793ff12b17ff63a378a87c2
Symptom,blood_in_stool,gastritis_peptic_ulcer_possible,4,,1ad7742300ab04940b01f601b302ad59db2a5f0704f755a7145a1223f698d48c
Symptom,constipation,constipation,5,,4d0a7c55ff54d544a7126b5001d49f4c485c81c2c2c13104d3c3d039373d86f1
Symptom,abdominal_pain,ibs_possible,2,,726256ffcd64572eff403ed4bb96d763a0f3dcfb7994440bd040595a88623703
Symptom,painful_urination,uti_uncomplicated,5,,da3dad3091d01268427b125606ba4510e5cf7df2ccede06c09560317e2e3de66
Symptom,urinary_frequency,uti_uncomplicated,3,,f6767868a2ef0e2def6021cd70629353e8a3f8138e645583ca856f2bd411d169
Symptom,flank_pain,kidney_stone_possible,5,,c7e5d986154aa6faf59fd0f410f63811434650c401eb9242a846f5ae3e98ddb7
Symptom,rash,contact_dermatitis,4,,3eee4ddb7b145412dbae38765b5fdd386223bae963a7498e4e7059f575c72bfc
Symptom,hives,urticaria_hives,5,,17d4b11453cb8daa46f1e427247f6e5e87675db42377502c162700055398b723
Symptom,skin_redness_warmth,cellulitis_possible,5,,30d4cdd645b1517f8ab5a3559b9d2428f6e4f88028893da1fef5a54cf2265c23
Symptom,rash_spreading,cellulitis_possible,4,,4001c130f294b0dd9580837c7afac74743251eac490634771b445ed4222780c4
Symptom,polyuria,hyperglycemia_risk_prediabetes_diabetes,4,,c66564bff59afbd643cbd10229f9a8cfd87b925237200d20e531a2c91d654bfb
Symptom,polydipsia,hyperglycemia_risk_prediabetes_diabetes,4,,453d6cff19f7670fb58a25e827487542fb6bfcb1e2a92838717f9dad06e1aba3
Symptom,blurred_vision,hyperglycemia_risk_prediabetes_diabetes,2,,a6467f72f20dabc640695481605990d63cebc10e0379165dceae1f07abd3bab8
Symptom,poor_wound_healing,hyperglycemia_risk_prediabetes_diabetes,3,,c818ba490da339647be698be08128a8b5258940ffc13d12dea94b25aca2d1a2a
VitalRule,bp_stage2_sys,hypertension_risk,4,,7bcf91fa10a1841ca065f6dbc7e35fd8f8b88a6fe740be9d2b649d37e7f8ff71
VitalRule,bp_urgency_sys,hypertensive_urgency_risk,5,,f1e3535d31d0817f58e564c65732889d2969e825f46bf5c56ba0da918e13c9f2
VitalRule,bp_urgency_dia,hypertensive_urgency_risk,5,,605a10edf54bbd5441640336be8a2bcffc7a2b494ccd69b09c2646cc8eee6456
VitalRule,spo2_low,respiratory_compromise_risk,5,,3d3a0ea1374e1862fe4c58cd37fda3cf52ce781e24788a4ea9d12047d2a2bdf0
VitalRule,spo2_critical,respiratory_compromise_risk,5,,57acf6a2b84b6d2f63ddc16b45f95d8731199539a9c972e9cf0643397ae7a723
VitalRule,temp_high,infection_risk_systemic,4,,00de7b0ec4bac201b3fe89aa255e36a290e6542ce2c17e2c298588ae36c22ecb
VitalRule,hr_tachy,infection_risk_systemic,2,,7cd56ffb5168857130e5ab39625c533bfc9a09223ffa9da867f21e35f1acc962
Symptom,fever,infection_risk_systemic,3,,11504a4b3d0ffcf6bae23492f440e29f0b8aaf5bb038332ed38c877ab8032a67
Symptom,confusion,neurologic_warning_risk,4,,1e7493c6645bb04c2fb5d32c7c98932d705d94dad44bc3ca36b926094e117095
Symptom,new_weakness,neurologic_warning_risk,5,,0499268dd62661ea017f292f988c41587cdc08d32623940a9f969dcf632193ba
Symptom,double_vision,neurologic_warning_risk,4,,4a896d7587a5ad7801bd8a2c97756f46cdb2ddb03fbe561178bd8de106ed0f92
Symptom,chest_pain,cardiac_warning_risk,5,,425e2e7df83c3609239e6bc85e7810c0c92fdec157fffcb7152ecc3e08e1dd9c
Symptom,palpitations,cardiac_warning_risk,2,,66101d0b30338417a9218c68e21dcd7d000428d8830ca09312adbf212fba8640
Symptom,shortness_of_breath,respiratory_compromise_risk,4,,ebb044b88f020b607e056d4d311426254c98b19dc972c7493427832d7a9299f2
Symptom,fatigue,sleep_disorder_possible,2,,ea7c49558a81017967dcdc1296f1ee83481f8980182cb1b2241978bc49e86d4e
Symptom,daytime_sleepiness,sleep_disorder_possible,4,,3cd57114864a81183f224459a39b2483c4eab4e9bf879ac6690181ff5acfb01e
Symptom,snoring,sleep_disorder_possible,3,,2e20aba65845e5626ef408078961c1811912e6af0feadc173910c2e17f5f44ae
Symptom,sleep_loss,sleep_disorder_possible,3,,db5081e1fcda961f69639bb5e6b89975bc685bdf4ce2e1ec443a5e89b85995e4
Symptom,stress_related_symptoms,stress_related_symptoms,4,,e41ef0b611933aa3879b0b104d2327967bddbfd09af23add77f0c28598ec04bc
Symptom,sweating,panic_attack_possible,2,,2daf28753c90674d84ff1d5833b97015462cc37b199b1dfdd5af462063ebf34f
Symptom,tremor,anxiety_related_symptoms,2,,ea115e670271e57291ab1c5bbd16d3a818f9e575c05f17385f516dbeba771795
Symptom,neck_stiffness,neurologic_warning_risk,3,,149f773c93d6cd54db99fc92f3ca990b4faded5f6dde03093a01be452d75a4fc
Symptom,photophobia,neurologic_warning_risk,2,,02acf443b7f5ee9693f6a2e037a9bf81c93897aee7281c689dc81d305e9dd51d
Symptom,abdominal_pain,dehydration_risk,2,,ae84291b17be39eaf9566395f199fcac7299ad86caad84be88260cb7d6d3dcfa
Symptom,vomiting,dehydration_risk,3,,5e9a97db267bc7dec3f9aef586e7978efa379275dcdac443a7af9f55f8671bf6
Symptom,diarrhea,dehydration_risk,3,,6729c31ede9e184d05f54724edd39303140f99081625da12d7363028753092ca
VitalRule,hr_tachy,dehydration_risk,3,,27e8ebc7a5f6cd2413cb736ef623f95f905c93266b3dfc3c32b402c371b3fb7f
Symptom,skin_pain,cellulitis_possible,3,,f18789b80be9c609474e7c6840c4a87e3094af69595487e9b2dc58a0efcd0914
Symptom,wheezing,respiratory_compromise_risk,3,,c8e2528cd76306733d9c8c58ae911a945ff71cedb7d4d332cbe2d4535b82d537
Symptom,cough,acute_bronchitis,3,,7576fe3ebdb923e422eb8bf0b3df22ba82025fd7ff38f0091ccd78c69ae692f0
Symptom,cough,asthma_exacerbation,1,,207faa1761886ee9104e4d859f029a70f4069d81ce8756c188d70c047c202070
Symptom,nasal_congestion,acute_sinusitis,3,,2732d212cae963842c682c3455b76a4abbf44c4f193ac6d108d4ba51de721f9e
Symptom,headache,posture_related_headache,2,,90953260d230b8136175d3d63b79869f559f5b62ffa229247fdf399c864039d8
Symptom,headache,eye_strain_headache,2,,8ae960594a92e8a28a81bf8f755bc797afcd34ab05cfa5250aace85bd3f2869d
Symptom,headache,sleep_deprivation_headache,2,,bc7b3359f37f01da44e078d9d0be805d22482add4a1a3a52ea345e2e07e2060c
Symptom,fatigue,influenza_like_illness,2,,b767024be83a012c8070b37f6436dd02852b5bc2c2140f8134a6b7ee97ff23e7
Symptom,fatigue,covid_like_illness,2,,292290e69f8cab654250802eb9ec43724f291f0997521184d5531e20d2cd328d
VitalRule,temp_moderate,influenza_like_illness,2,,5c22bd6f2c9b2fb7c8c2fdd3a21225e45d1fd2924c3bf708152af677d10dff2d
VitalRule,temp_moderate,covid_like_illness,2,,b1a3f93eca9733017ec4a585a83261c03de34ae31af1ed80b5afb12d757cc82c
VitalRule,spo2_borderline,respiratory_compromise_risk,3,,a3e9045d946691718d3ba2ba1dc95ef3954a78141d73aa89f01b9a237b997c2d
VitalRule,hr_brady,cardiac_warning_risk,2,,af57693427bc9f587207f4b01d88ff23754f17b5d437100973cb51056cb772cc
VitalRule,temp_low,infection_risk_systemic,2,,3d123bdbf3271a7b1389c11bb5e1e5bb221c9bdfa9c1df974687b909f862bdfc
Symptom,fatigue,viral_uri,1,partial match support,45ea11dd757e856335e6a3dead132c33c27552a9f8b5694c34788c812e498c8f
Symptom,fatigue,tension_headache,1,partial match support,0a1b74f0a62b9d0c9418b170af9361b7becfecfda7673bfae1c3914607fe9923
Symptom,fatigue,stress_related_symptoms,2,partial match support,3332fde7aebcae513206d199fe73cf209a23ed9b72d377d6c2ee146d867ef8de
Symptom,fatigue,infection_risk_systemic,1,partial match support,5c24405d9a5960a73bebe33eff873ae20196f2b91679d999e3180ed5d894e8a1
Symptom,headache,migraine_possible,2,partial match support,3ec44371331fe4a06ce0619bf2b48ec321837cf5fa5c6a6256a689e1d77eb935
Symptom,headache,tension_headache,3,partial match support,a3419116d41c5fd1373eff29df5bf0d81b89574bfdd100b03e7fde6ad6a6814e
Symptom,headache,eye_strain_headache,1,partial match support,2e51a8c4d268046a42a8c7e8801fb8bf113cd250307037c248261da4d97d1942
Symptom,headache,sleep_deprivation_headache,1,partial match support,09815d9321e5d47bbd4f4517e4e0925a713a41d11e54de481180d64b33f56bc1
Symptom,dizziness,dehydration_risk,2,partial match support,9e188cb3929feb6beca2b2070dc42589c0b8312482f5af7d85b0cafc2bbc952d
Symptom,dizziness,anxiety_related_symptoms,1,partial match support,70ef5eeb7f8fa9f61e069b5da352b1a3ac4ff3bd14e455954e726bb88a138f28
Symptom,dizziness,cardiac_warning_risk,1,partial match support,de32f6fba7bca6b319954b0a659f411475d5438dad8635dd148e9100618766f3
Symptom,shortness_of_breath,respiratory_compromise_risk,4,partial match support,991dd6d6606b781bee95b27c9aa941b9f649312e512a8fe09090f4d29ab9386e
Symptom,shortness_of_breath,anxiety_related_symptoms,1,partial match support,492c834313f1845c82291a8c5da5cdf1f95ff024ba9e3365501d86af644d6c72
Symptom,rash,urticaria_hives,1,partial match support,801d57bebc0969bfe023313cf9bade57b3e525ace66af9a9f911787af655d1ea
Symptom,rash,cellulitis_possible,1,partial match support,efec3fbbf2be88bf23ad87d2cb46a83c4cb1639f5d336faa481dcd2f296cb671
Symptom,abdominal_pain,acute_gastroenteritis,1,partial match support,264df0857fe7f95b9b0c59a0bbc17d34fcab2bfba3995ce2d20102749bf10ae0
Symptom,abdominal_pain,ibs_possible,1,partial match support,1ae4279637666ab2ee015b38c4db566535e53f66b13a9e339a3a49d0214a7f8d
Symptom,chest_tightness,asthma_exacerbation,3,partial match support,8574213c1183ff6718fea453e790c1c7902ded2d3a1ba53d712c8de819d4364d
Symptom,chest_tightness,panic_attack_possible,2,partial match support,0f8a7521133ed4e7ccdf871503b5a1f93663f489e76eea639c4ddfb6db2c00a4
Symptom,chest_tightness,cardiac_warning_risk,1,partial match support,57a97c6c411daafbc4de0f0834a474a2e4bbe156bdbd6b4435df472733f18479
Symptom,screen_overuse,posture_related_headache,1,contextual,f03161b503a90975dc59d7a4dc040fb8005c67b71709fbc3e5ebd9a7bdffc341
Symptom,poor_posture,posture_related_headache,2,contextual,4eab302d1543acfee2f9f1a8a70797bdf93bca9129a92301d62094bfb9f19010
Symptom,screen_overuse,neck_strain,1,contextual,b3e9d4b07435c361d9eccd955f3edf6e964bb71424741a5184f4f4fe59f6dd5e
Symptom,poor_posture,neck_strain,2,contextual,ec88acdc6afc0f722c4dd53fd733c9244207d6782b2425b37d4f8849d8750a67
Symptom,screen_overuse,shoulder_strain,1,contextual,72d8d6e3fcfa6695e58627d8322beed5b6e91368ca21fde79537f23917689c62
Symptom,poor_posture,shoulder_strain,2,contextual,d02c743f55dee2a0720b0ccde372347647c65f2fb12162fb66606179e0bbc895
Symptom,sleep_loss,tension_headache,2,contextual,0fd721494aa4af699f4ca0d76b977530566aead7310cf27d07275d3a18885e20
Symptom,anxiety,tension_headache,2,contextual,1c142f71a802142f054bff55ec0c0e203baef51951b1f1a34864a6909503b03f
Symptom,sleep_loss,sleep_disorder_possible,2,contextual,51c7d77bc2d1c25e09a861f8b6dc20ac3f2874666095731d45cc4d167189cf93
Symptom,anxiety,sleep_disorder_possible,2,contextual,1994fc0dc3940bf052cd091b013f395e6a2fc17f3d276a83dc3bfd4c7619cdf7
Symptom,sleep_loss,stress_related_symptoms,2,contextual,4e58653794e6109f2140dcb1dae1374aacfcf51b2c604f9f4af0221e4159c0f0
Symptom,anxiety,stress_related_symptoms,2,contextual,f12b230692d879f3da1979603e30c97c1abaf41ff61d9361b4fd1647f2d92ed7
Symptom,sleep_loss,anxiety_related_symptoms,2,contextual,f6d548d3e6234745751ec9f0a416f7133e3fa1bdbe83699069d6a35267fd9674
Symptom,anxiety,anxiety_related_symptoms,2,contextual,c1eddf817530ea4b5e687f9037b37acd3c24efe49d78fa621d7eecd8457fdcff
